,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,VOLUME,VALUE,NO OF TRADES,DELIVERY QTY,DELIVERY %,SYMBOL
30,2026-07-19 18:30:00,EQ,1317.2,1345.9,1314.9,1327.2,1321.9,1323.1,1330.16,14305844,19029041193.9,221661,6652359,46.5,RELIANCE
31,2026-07-16 18:30:00,EQ,1300.0,1330.3,1296.1,1296.6,1328.8,1327.2,1321.39,18302218,24184386410.4,257494,11508344,62.88,RELIANCE
32,2026-07-15 18:30:00,EQ,1295.5,1309.4,1291.8,1295.5,1300.0,1296.6,1301.2,15631046,20339050955.8,219816,8745884,55.95,RELIANCE
33,2026-07-14 18:30:00,EQ,1294.1,1310.9,1294.1,1293.0,1296.0,1295.5,1300.25,9577965,12453701323.8,189291,5093114,53.18,RELIANCE
34,2026-07-13 18:30:00,EQ,1290.0,1308.0,1286.9,1296.9,1295.0,1293.0,1296.78,13511284,17521220474.2,231407,4897495,36.25,RELIANCE
35,2026-07-12 18:30:00,EQ,1300.0,1306.4,1295.0,1307.8,1297.0,1296.9,1299.42,9488352,12329316771.2,227014,5166377,54.45,RELIANCE
36,2026-07-09 18:30:00,EQ,1291.9,1311.1,1287.8,1279.8,1310.0,1307.8,1301.71,8412537,10950723928.2,143317,4683839,55.68,RELIANCE
37,2026-07-08 18:30:00,EQ,1277.1,1296.5,1274.2,1275.9,1280.9,1279.8,1286.53,14651963,18850219782.4,279312,5180456,35.36,RELIANCE
38,2026-07-07 18:30:00,EQ,1297.0,1302.3,1271.6,1308.4,1274.9,1275.9,1284.32,19960868,25636141483.5,368557,11407500,57.15,RELIANCE
39,2026-07-06 18:30:00,EQ,1323.5,1328.0,1304.1,1321.3,1305.0,1308.4,1314.21,14335554,18839874763.2,262924,7655322,53.4,RELIANCE
40,2026-07-05 18:30:00,EQ,1304.0,1325.6,1299.4,1304.0,1321.7,1321.3,1316.79,7610709,10021698838.7,210015,4107659,53.97,RELIANCE
41,2026-07-02 18:30:00,EQ,1312.0,1312.0,1302.0,1303.5,1305.0,1304.0,1305.14,7839550,10231733311.4,209968,5182007,66.1,RELIANCE
42,2026-07-01 18:30:00,EQ,1310.0,1313.2,1299.0,1308.0,1301.9,1303.5,1303.94,17795024,23203584205.1,331954,10336425,58.09,RELIANCE
43,2026-06-30 18:30:00,EQ,1298.9,1312.2,1296.5,1293.9,1306.5,1308.0,1307.11,7001401,9151570032.2,149608,3773191,53.89,RELIANCE
44,2026-06-29 18:30:00,EQ,1306.9,1306.9,1290.0,1301.0,1294.5,1293.9,1295.14,15695263,20327586926.9,213627,8704168,55.46,RELIANCE
45,2026-06-28 18:30:00,EQ,1308.0,1313.7,1292.6,1318.1,1302.3,1301.0,1302.94,13757656,17925371908.1,233886,8969596,65.2,RELIANCE
46,2026-06-24 18:30:00,EQ,1318.0,1328.0,1314.6,1313.6,1316.5,1318.1,1320.81,12694362,16766828496.7,226862,7014422,55.26,RELIANCE
47,2026-06-23 18:30:00,EQ,1305.7,1322.0,1297.5,1309.5,1313.4,1313.6,1312.24,11030917,14475176030.9,181859,6021744,54.59,RELIANCE
48,2026-06-23 18:30:00,BL,1309.5,1309.5,1309.5,1534.0,1309.5,1309.5,1309.5,719579,942288700.5,1,0,,RELIANCE
49,2026-06-22 18:30:00,EQ,1328.9,1333.0,1304.0,1326.5,1306.0,1309.5,1318.19,15400184,20300411366.4,184704,8479383,55.06,RELIANCE
50,2026-06-21 18:30:00,EQ,1316.7,1344.9,1314.1,1309.5,1324.7,1326.5,1333.48,12931213,17243520821.4,261143,5782937,44.72,RELIANCE
51,2026-06-18 18:30:00,EQ,1328.0,1338.2,1305.3,1328.1,1311.5,1309.5,1317.76,24887034,32795056305.4,271929,14095366,56.64,RELIANCE
52,2026-06-17 18:30:00,EQ,1330.0,1333.9,1322.0,1332.7,1331.0,1328.1,1327.75,15494549,20572897900.8,210055,6234754,40.24,RELIANCE
53,2026-06-16 18:30:00,EQ,1333.0,1334.0,1317.0,1328.8,1332.1,1332.7,1328.97,10029170,13328474070.8,223240,5003254,49.89,RELIANCE
54,2026-06-15 18:30:00,EQ,1313.4,1333.4,1306.4,1307.0,1328.6,1328.8,1326.71,18513223,24561659086.4,268584,8733475,47.17,RELIANCE
55,2026-06-14 18:30:00,EQ,1315.3,1325.0,1303.3,1293.0,1306.5,1307.0,1311.06,18633321,24429312588.7,220103,10630134,57.05,RELIANCE
56,2026-06-11 18:30:00,EQ,1277.0,1297.0,1262.5,1263.0,1296.4,1293.0,1277.16,11988785,15311601155.2,196811,6180742,51.55,RELIANCE
57,2026-06-10 18:30:00,EQ,1258.0,1276.0,1253.2,1258.8,1264.5,1263.0,1265.78,13117486,16603791532.6,208052,5212340,39.74,RELIANCE
58,2026-06-09 18:30:00,EQ,1275.0,1300.5,1254.4,1269.2,1258.7,1258.8,1274.15,21012796,26773474717.2,307301,9317948,44.34,RELIANCE
59,2026-06-08 18:30:00,EQ,1269.0,1274.2,1257.5,1263.3,1272.3,1269.2,1264.75,23620214,29873731086.3,273651,11824048,50.06,RELIANCE
60,2026-06-07 18:30:00,EQ,1277.0,1282.6,1259.2,1291.0,1262.8,1263.3,1271.9,16494759,20979689703.1,303591,9936414,60.24,RELIANCE
61,2026-06-04 18:30:00,EQ,1304.5,1306.0,1288.0,1303.7,1291.4,1291.0,1294.8,17785223,23028393410.0,356802,11637226,65.43,RELIANCE
62,2026-06-03 18:30:00,EQ,1301.0,1311.2,1293.1,1313.2,1308.0,1303.7,1303.16,23474327,30590735365.6,318716,9510596,40.51,RELIANCE
63,2026-06-02 18:30:00,EQ,1315.0,1324.0,1301.0,1314.6,1312.6,1313.2,1309.61,20012293,26208226472.8,380780,10865825,54.3,RELIANCE
64,2026-06-01 18:30:00,EQ,1307.7,1327.8,1300.3,1320.0,1321.0,1314.6,1313.43,23302785,30606599536.0,362323,9705177,41.65,RELIANCE
65,2026-05-31 18:30:00,EQ,1332.5,1335.5,1318.5,1321.2,1320.2,1320.0,1324.32,10700603,14170974474.5,212031,6460846,60.38,RELIANCE
66,2026-05-28 18:30:00,EQ,1364.0,1369.0,1317.0,1350.5,1321.9,1321.2,1330.58,42634247,56728419201.1,309971,31551860,74.01,RELIANCE
67,2026-05-26 18:30:00,EQ,1353.0,1361.0,1348.6,1356.3,1352.0,1350.5,1354.62,13215138,17901499784.8,230257,4698429,35.55,RELIANCE
68,2026-05-25 18:30:00,EQ,1360.1,1368.5,1352.4,1367.0,1357.0,1356.3,1359.22,13769747,18716137070.8,148444,5055467,36.71,RELIANCE
69,2026-05-24 18:30:00,EQ,1366.8,1371.1,1357.0,1354.5,1366.4,1367.0,1363.11,6750071,9201071110.9,139554,3921477,58.1,RELIANCE
70,2026-05-21 18:30:00,EQ,1350.0,1367.4,1349.1,1349.6,1358.0,1354.5,1357.24,7105813,9644325563.8,163887,4083826,57.47,RELIANCE
71,2026-05-20 18:30:00,EQ,1367.2,1370.9,1345.2,1359.7,1349.0,1349.6,1352.83,17150630,23201823031.7,275605,6676740,38.93,RELIANCE
72,2026-05-19 18:30:00,EQ,1318.7,1362.9,1312.6,1322.7,1360.3,1359.7,1345.23,13248515,17822310858.2,227919,6957215,52.51,RELIANCE
73,2026-05-18 18:30:00,EQ,1338.7,1344.0,1318.4,1335.9,1322.8,1322.7,1332.15,21665501,28861686347.3,339757,9343867,43.13,RELIANCE
74,2026-05-17 18:30:00,EQ,1334.0,1342.0,1318.7,1336.4,1335.0,1335.9,1333.44,13022473,17364734585.6,224065,7474197,57.39,RELIANCE
75,2026-05-14 18:30:00,EQ,1356.8,1364.8,1329.2,1361.8,1339.0,1336.4,1339.37,19976192,26755567751.4,276450,13447636,67.32,RELIANCE
76,2026-05-13 18:30:00,EQ,1365.2,1378.0,1358.4,1358.8,1368.5,1361.8,1365.93,17303059,23634693081.4,312686,8049788,46.52,RELIANCE
77,2026-05-12 18:30:00,EQ,1361.4,1372.4,1352.4,1364.0,1361.2,1358.8,1360.83,13797989,18776783797.9,253418,8419138,61.02,RELIANCE
78,2026-05-11 18:30:00,EQ,1392.0,1393.5,1360.3,1388.2,1366.5,1364.0,1375.76,24357500,33509995739.5,405245,10240938,42.04,RELIANCE
79,2026-05-10 18:30:00,EQ,1420.0,1428.0,1382.0,1435.2,1385.3,1388.2,1402.78,15261787,21408932295.6,240591,9376027,61.43,RELIANCE
80,2026-05-07 18:30:00,EQ,1426.0,1442.8,1417.5,1436.2,1436.0,1435.2,1428.37,8663105,12374131086.6,173992,4635608,53.51,RELIANCE
81,2026-05-06 18:30:00,EQ,1438.8,1449.5,1430.3,1437.9,1435.5,1436.2,1438.64,19816903,28509373904.5,286996,4261570,21.5,RELIANCE
82,2026-05-05 18:30:00,EQ,1463.0,1473.3,1427.5,1463.6,1438.7,1437.9,1444.41,14221786,20542051719.1,282129,6769167,47.6,RELIANCE
