,RequestNumber,Index Name,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
20,His63925001225088853600,,Nifty Midcap 50,03 Aug 2026,18188.75,18301.85,18140.6,18301.85
21,His63925001225057603300,,Nifty Midcap 50,31 Jul 2026,18061.1,18143.1,17976.1,18105.85
22,His63925001225057603300,,Nifty Midcap 50,30 Jul 2026,18062.05,18091.15,17959.2,18028.65
23,His63925001225057603300,,Nifty Midcap 50,29 Jul 2026,18065.75,18120.2,18036.25,18087.70
24,His63925001225057603300,,Nifty Midcap 50,28 Jul 2026,17954.3,18047.4,17936.5,17973.90
25,His63925001225057603300,,Nifty Midcap 50,27 Jul 2026,17857.5,17947.3,17856.95,17935.25
26,His63925001225057603300,,Nifty Midcap 50,24 Jul 2026,17581.3,17732.35,17478.3,17709.45
27,His63925001225057603300,,Nifty Midcap 50,23 Jul 2026,17823.6,17862.95,17647.7,17690.50
28,His63925001225057603300,,Nifty Midcap 50,22 Jul 2026,18073.7,18073.8,17855.65,17884.15
29,His63925001225057603300,,Nifty Midcap 50,21 Jul 2026,18052.6,18108.45,18024.65,18091.20
30,His63925001225057603300,,Nifty Midcap 50,20 Jul 2026,17902,18068.35,17867.5,18040.15
31,His63925001225057603300,,Nifty Midcap 50,17 Jul 2026,18014.65,18018.15,17842.1,17930.85
32,His63925001225057603300,,Nifty Midcap 50,16 Jul 2026,18078.8,18096.65,17939.8,17985.10
33,His63925001225057603300,,Nifty Midcap 50,15 Jul 2026,18034.95,18114.45,17992.7,18036.75
34,His63925001225057603300,,Nifty Midcap 50,14 Jul 2026,18019.6,18066.9,17944.95,17988.15
35,His63925001225057603300,,Nifty Midcap 50,13 Jul 2026,17953.85,18106.85,17910.6,18089.55
36,His63925001225057603300,,Nifty Midcap 50,10 Jul 2026,17977.8,18069.2,17954.25,18059.50
37,His63925001225057603300,,Nifty Midcap 50,09 Jul 2026,17651.95,17892.4,17648.15,17844.50
38,His63925001225057603300,,Nifty Midcap 50,08 Jul 2026,17775.75,17861.5,17506.15,17604.45
39,His63925001225057603300,,Nifty Midcap 50,07 Jul 2026,17904.7,17909.45,17763,17864.05
40,His63925001225057603300,,Nifty Midcap 50,06 Jul 2026,17819.95,17871.25,17765.15,17863.55
41,His63925001225057603300,,Nifty Midcap 50,03 Jul 2026,17905,17905,17767.55,17783.25
42,His63925001225057603300,,Nifty Midcap 50,02 Jul 2026,17786.25,17847.85,17761.5,17806.00
43,His63925001225057603300,,Nifty Midcap 50,01 Jul 2026,17643.55,17730.8,17636.2,17716.10
44,His63925001225166982100,,Nifty Midcap 50,30 Jun 2026,17568.2,17669,17475.55,17594.90
45,His63925001225166982100,,Nifty Midcap 50,29 Jun 2026,17573.8,17635.75,17437.15,17521.00
46,His63925001225166982100,,Nifty Midcap 50,25 Jun 2026,17767.35,17800.75,17568.1,17587.85
47,His63925001225166982100,,Nifty Midcap 50,24 Jun 2026,17637.25,17749.9,17552.15,17690.30
48,His63925001225166982100,,Nifty Midcap 50,23 Jun 2026,17818.05,17853.8,17611.9,17639.80
49,His63925001225166982100,,Nifty Midcap 50,22 Jun 2026,17814.1,17843.85,17759.95,17800.45
50,His63925001225166982100,,Nifty Midcap 50,19 Jun 2026,17618.15,17755.7,17579.55,17735.30
51,His63925001225166982100,,Nifty Midcap 50,18 Jun 2026,17693.25,17730.45,17650.5,17716.85
52,His63925001225166982100,,Nifty Midcap 50,17 Jun 2026,17656.25,17695.6,17565.85,17659.65
53,His63925001225166982100,,Nifty Midcap 50,16 Jun 2026,17570.75,17615.95,17483.7,17607.15
54,His63925001225166982100,,Nifty Midcap 50,15 Jun 2026,17541.15,17591.7,17471.3,17501.90
55,His63925001225166982100,,Nifty Midcap 50,12 Jun 2026,17083.85,17281.75,16985.3,17265.90
56,His63925001225166982100,,Nifty Midcap 50,11 Jun 2026,16927.65,16983.55,16832.9,16865.50
57,His63925001225166982100,,Nifty Midcap 50,10 Jun 2026,17264.7,17287.1,16966.55,17005.20
58,His63925001225166982100,,Nifty Midcap 50,09 Jun 2026,17139.5,17274.8,17123.25,17248.10
59,His63925001225166982100,,Nifty Midcap 50,08 Jun 2026,16973.05,17208.4,16936.55,17039.15
60,His63925001225166982100,,Nifty Midcap 50,05 Jun 2026,17323.5,17382.05,17129,17198.90
61,His63925001225166982100,,Nifty Midcap 50,04 Jun 2026,17140,17362.55,17080.65,17264.65
62,His63925001225166982100,,Nifty Midcap 50,03 Jun 2026,17274.1,17280.15,16975.1,17190.50
63,His63925001225166982100,,Nifty Midcap 50,02 Jun 2026,17162.95,17318.7,17088.2,17287.30
64,His63925001225166982100,,Nifty Midcap 50,01 Jun 2026,17556.55,17583.8,17253.05,17279.20
65,His63925001225198230100,,Nifty Midcap 50,29 May 2026,17850,17859.1,17448.7,17490.55
66,His63925001225198230100,,Nifty Midcap 50,27 May 2026,17762.6,17843,17709.3,17754.95
67,His63925001225198230100,,Nifty Midcap 50,26 May 2026,17673.9,17764.75,17633.75,17741.15
68,His63925001225198230100,,Nifty Midcap 50,25 May 2026,17637.85,17672.3,17588.4,17650.60
69,His63925001225198230100,,Nifty Midcap 50,22 May 2026,17513.2,17516.1,17393,17478.25
70,His63925001225198230100,,Nifty Midcap 50,21 May 2026,17620.45,17660,17413.55,17454.10
71,His63925001225198230100,,Nifty Midcap 50,20 May 2026,17296.2,17521.2,17248.9,17499.80
72,His63925001225198230100,,Nifty Midcap 50,19 May 2026,17318.7,17549.3,17318.55,17413.75
73,His63925001225198230100,,Nifty Midcap 50,18 May 2026,17163.9,17284.4,16981.55,17261.35
74,His63925001225198230100,,Nifty Midcap 50,15 May 2026,17404.9,17432.7,17248.9,17273.15
75,His63925001225198230100,,Nifty Midcap 50,14 May 2026,17257.3,17389.1,17093.15,17357.50
76,His63925001225198230100,,Nifty Midcap 50,13 May 2026,17082.25,17293.85,17002.8,17156.90
77,His63925001225198230100,,Nifty Midcap 50,12 May 2026,17468.25,17494.9,17036.3,17055.50
78,His63925001225198230100,,Nifty Midcap 50,11 May 2026,17543.7,17609.3,17391.55,17481.05
79,His63925001225198230100,,Nifty Midcap 50,08 May 2026,17636.55,17686.3,17555.45,17628.20
80,His63925001225198230100,,Nifty Midcap 50,07 May 2026,17470.75,17644.1,17420.55,17617.55
81,His63925001225198230100,,Nifty Midcap 50,06 May 2026,17201.85,17395.15,17168,17372.95
82,His63925001225198230100,,Nifty Midcap 50,05 May 2026,16984.4,17029.3,16887.15,16997.60
83,His63925001225198230100,,Nifty Midcap 50,04 May 2026,17002.5,17098.65,16876.45,16984.90
84,His63925001225260730800,,Nifty Midcap 50,30 Apr 2026,16959.55,16962.35,16741.9,16882.50
85,His63925001225260730800,,Nifty Midcap 50,29 Apr 2026,17139.65,17209.95,17001.65,17029.30
86,His63925001225260730800,,Nifty Midcap 50,28 Apr 2026,17017.25,17093.55,16981.6,17039.85
87,His63925001225260730800,,Nifty Midcap 50,27 Apr 2026,16812.8,17032.25,16796.55,16996.20
88,His63925001225260730800,,Nifty Midcap 50,24 Apr 2026,16961.95,16995.3,16670.05,16741.75
89,His63925001225260730800,,Nifty Midcap 50,23 Apr 2026,16995.7,17034.75,16907.45,16936.05
90,His63925001225260730800,,Nifty Midcap 50,22 Apr 2026,17020.25,17113.45,16989.85,17057.20
91,His63925001225260730800,,Nifty Midcap 50,21 Apr 2026,17009.85,17128.65,17002.1,17061.25
92,His63925001225260730800,,Nifty Midcap 50,20 Apr 2026,17055.15,17117,16893.15,16981.80
93,His63925001225260730800,,Nifty Midcap 50,17 Apr 2026,16840.15,17035.3,16769.35,17014.60
94,His63925001225260730800,,Nifty Midcap 50,16 Apr 2026,16832.8,16887.35,16659.55,16804.80
95,His63925001225260730800,,Nifty Midcap 50,15 Apr 2026,16598.4,16724.35,16563.5,16699.40
96,His63925001225260730800,,Nifty Midcap 50,13 Apr 2026,16128.65,16393.15,16020.9,16326.30
97,His63925001225260730800,,Nifty Midcap 50,10 Apr 2026,16333.5,16465.5,16263.8,16452.40
98,His63925001225260730800,,Nifty Midcap 50,09 Apr 2026,16216.35,16336.6,16056.6,16246.35
99,His63925001225260730800,,Nifty Midcap 50,08 Apr 2026,16099.15,16237.3,16023.3,16210.35
100,His63925001225260730800,,Nifty Midcap 50,07 Apr 2026,15424.85,15595.35,15252.45,15573.80
101,His63925001225260730800,,Nifty Midcap 50,06 Apr 2026,15294.8,15525.1,15096.65,15507.20
102,His63925001225260730800,,Nifty Midcap 50,02 Apr 2026,15113.25,15305.2,14804.55,15270.50
103,His63925001225260730800,,Nifty Midcap 50,01 Apr 2026,15374.05,15500,15235.35,15295.45
104,His63925001225306129600,,Nifty Midcap 50,30 Mar 2026,15194.1,15228.9,14954.9,14983.35
105,His63925001225306129600,,Nifty Midcap 50,27 Mar 2026,15628.9,15638.9,15367.45,15396.10
106,His63925001225306129600,,Nifty Midcap 50,25 Mar 2026,15556.55,15827.6,15543.45,15731.45
107,His63925001225306129600,,Nifty Midcap 50,24 Mar 2026,15322.85,15477.35,15079.55,15411.75
108,His63925001225306129600,,Nifty Midcap 50,23 Mar 2026,15405.45,15405.45,14956.15,15000.50
109,His63925001225306129600,,Nifty Midcap 50,20 Mar 2026,15572.4,15759.05,15549.15,15572.60
110,His63925001225306129600,,Nifty Midcap 50,19 Mar 2026,15709.35,15730.75,15385.7,15458.00
111,His63925001225306129600,,Nifty Midcap 50,18 Mar 2026,15686.95,16042.3,15685.55,15983.45
112,His63925001225306129600,,Nifty Midcap 50,17 Mar 2026,15570.75,15692.3,15444.75,15656.75
113,His63925001225306129600,,Nifty Midcap 50,16 Mar 2026,15487.2,15610.9,15259.8,15497.00
114,His63925001225306129600,,Nifty Midcap 50,13 Mar 2026,15837.3,15870.45,15472.45,15523.70
115,His63925001225306129600,,Nifty Midcap 50,12 Mar 2026,15896.4,16047.3,15684.4,15922.20
116,His63925001225306129600,,Nifty Midcap 50,11 Mar 2026,16297.05,16359.05,15961.15,15991.65
117,His63925001225306129600,,Nifty Midcap 50,10 Mar 2026,16217.6,16308.6,16096.85,16262.25
118,His63925001225306129600,,Nifty Midcap 50,09 Mar 2026,15991.25,16038.2,15732.65,16005.45
119,His63925001225306129600,,Nifty Midcap 50,06 Mar 2026,16413.3,16529.05,16283.55,16300.85
120,His63925001225306129600,,Nifty Midcap 50,05 Mar 2026,16332.35,16490.25,16234.85,16441.55
121,His63925001225306129600,,Nifty Midcap 50,04 Mar 2026,16290.9,16310.15,16084.5,16198.95
122,His63925001225306129600,,Nifty Midcap 50,02 Mar 2026,16201.9,16705.65,16197.8,16520.35
123,His63925001225370108700,,Nifty Midcap 50,27 Feb 2026,16944,16963.2,16737.2,16765.60
124,His63925001225370108700,,Nifty Midcap 50,26 Feb 2026,16865.45,16965.4,16839.1,16945.05
125,His63925001225370108700,,Nifty Midcap 50,25 Feb 2026,16787.95,16871.35,16717.45,16828.70
126,His63925001225370108700,,Nifty Midcap 50,24 Feb 2026,16720.8,16758,16548.95,16718.75
127,His63925001225370108700,,Nifty Midcap 50,23 Feb 2026,16912.65,16925,16710.05,16772.40
128,His63925001225370108700,,Nifty Midcap 50,20 Feb 2026,16811.35,16964.5,16783.85,16912.35
129,His63925001225370108700,,Nifty Midcap 50,19 Feb 2026,17146.95,17159.45,16796.1,16844.25
130,His63925001225370108700,,Nifty Midcap 50,18 Feb 2026,17081.1,17133.4,17026,17123.45
131,His63925001225370108700,,Nifty Midcap 50,17 Feb 2026,17021.95,17078.2,16969.6,17048.95
132,His63925001225370108700,,Nifty Midcap 50,16 Feb 2026,16867.9,17040.85,16793.25,17025.70
133,His63925001225370108700,,Nifty Midcap 50,13 Feb 2026,17095.9,17104.35,16880.45,16960.45
134,His63925001225370108700,,Nifty Midcap 50,12 Feb 2026,17323.3,17325.45,17184.7,17251.50
135,His63925001225370108700,,Nifty Midcap 50,11 Feb 2026,17325.2,17349.55,17250.35,17330.05
136,His63925001225370108700,,Nifty Midcap 50,10 Feb 2026,17344.1,17346.45,17249.9,17303.95
137,His63925001225370108700,,Nifty Midcap 50,09 Feb 2026,17128.65,17266.2,17084.05,17249.15
138,His63925001225370108700,,Nifty Midcap 50,06 Feb 2026,17029.1,17043.5,16838.05,17023.30
139,His63925001225370108700,,Nifty Midcap 50,05 Feb 2026,17120.05,17120.5,16946.05,17084.95
140,His63925001225370108700,,Nifty Midcap 50,04 Feb 2026,16988.1,17149.15,16848,17123.40
141,His63925001225370108700,,Nifty Midcap 50,03 Feb 2026,17221.15,17368.85,16944.2,17013.20
142,His63925001225370108700,,Nifty Midcap 50,02 Feb 2026,16357.35,16585.85,16185.05,16549.30
143,His63925001225370108700,,Nifty Midcap 50,01 Feb 2026,16709.6,16757.35,16038.55,16349.40
144,His63925001225448234300,,Nifty Midcap 50,30 Jan 2026,16642.95,16751.5,16542.8,16693.25
145,His63925001225448234300,,Nifty Midcap 50,29 Jan 2026,16731.1,16749.75,16578.2,16736.25
146,His63925001225448234300,,Nifty Midcap 50,28 Jan 2026,16495.85,16722.85,16481.55,16703.05
147,His63925001225448234300,,Nifty Midcap 50,27 Jan 2026,16401.35,16480.65,16208.7,16431.35
148,His63925001225448234300,,Nifty Midcap 50,23 Jan 2026,16740.9,16742.4,16320.5,16348.15
149,His63925001225448234300,,Nifty Midcap 50,22 Jan 2026,16596.4,16788.45,16540.9,16672.00
150,His63925001225448234300,,Nifty Midcap 50,21 Jan 2026,16579.9,16679.75,16228.75,16453.55
151,His63925001225448234300,,Nifty Midcap 50,20 Jan 2026,17097.25,17097.3,16582.6,16635.80
152,His63925001225448234300,,Nifty Midcap 50,19 Jan 2026,17118.35,17163,17032.45,17103.00
153,His63925001225448234300,,Nifty Midcap 50,16 Jan 2026,17078.65,17259.15,17078.65,17146.20
154,His63925001225448234300,,Nifty Midcap 50,14 Jan 2026,17001.85,17108.8,16959.5,17054.25
155,His63925001225448234300,,Nifty Midcap 50,13 Jan 2026,17147.85,17193.1,16886.85,17034.00
156,His63925001225448234300,,Nifty Midcap 50,12 Jan 2026,17100.55,17134.95,16842,17085.40
157,His63925001225448234300,,Nifty Midcap 50,09 Jan 2026,17209.6,17311,17031.8,17096.50
158,His63925001225448234300,,Nifty Midcap 50,08 Jan 2026,17530.65,17536.15,17199.3,17215.45
159,His63925001225448234300,,Nifty Midcap 50,07 Jan 2026,17480.25,17572.45,17443.55,17534.35
160,His63925001225448234300,,Nifty Midcap 50,06 Jan 2026,17499.5,17519.35,17392.95,17471.35
161,His63925001225448234300,,Nifty Midcap 50,05 Jan 2026,17554.7,17555.95,17395.05,17482.30
162,His63925001225448234300,,Nifty Midcap 50,02 Jan 2026,17390.15,17514,17350.8,17505.70
163,His63925001225448234300,,Nifty Midcap 50,01 Jan 2026,17288.9,17355,17195.8,17342.70
