,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,VOLUME,VALUE,NO OF TRADES,DELIVERY QTY,DELIVERY %,SYMBOL
28,2026-07-21 18:30:00,EQ,1044.4,1044.4,1019.2,1044.4,1025.0,1025.0,1025.14,11227214,11509446587.7,175482,6584040,58.64,SBIN
29,2026-07-20 18:30:00,EQ,1056.2,1067.0,1042.8,1060.0,1044.3,1044.4,1052.38,10514887,11065617404.9,239098,5576852,53.04,SBIN
30,2026-07-19 18:30:00,EQ,1041.6,1065.0,1038.3,1044.3,1060.6,1060.0,1050.85,16540411,17381554607.9,236033,8633636,52.2,SBIN
31,2026-07-16 18:30:00,EQ,1030.6,1048.0,1028.3,1031.2,1043.2,1044.3,1041.53,8452780,8803794314.6,203653,4484419,53.05,SBIN
32,2026-07-15 18:30:00,EQ,1030.1,1036.0,1027.3,1030.1,1030.8,1031.2,1030.76,7708316,7945431192.0,133865,3457065,44.85,SBIN
33,2026-07-14 18:30:00,EQ,1015.5,1036.0,1013.7,1015.4,1030.8,1030.1,1028.13,14275394,14676967357.4,164713,7105463,49.77,SBIN
34,2026-07-13 18:30:00,EQ,1033.3,1033.7,1011.4,1037.0,1012.7,1015.4,1019.22,11562326,11784550655.3,203315,5845603,50.56,SBIN
35,2026-07-12 18:30:00,EQ,1023.5,1042.9,1022.1,1036.0,1036.7,1037.0,1036.54,8381510,8687789541.5,196329,3572985,42.63,SBIN
36,2026-07-09 18:30:00,EQ,1029.5,1047.8,1023.5,1022.1,1036.4,1036.0,1033.75,8792150,9088887774.1,154813,4249961,48.34,SBIN
37,2026-07-08 18:30:00,EQ,1019.8,1031.7,1019.3,1016.9,1022.5,1022.1,1025.11,7661699,7854071089.5,169565,2014082,26.29,SBIN
38,2026-07-07 18:30:00,EQ,1029.6,1038.3,1011.7,1038.1,1019.8,1016.9,1026.16,14141694,14511572175.9,205996,7873275,55.67,SBIN
39,2026-07-06 18:30:00,EQ,1039.3,1049.6,1035.5,1037.7,1036.2,1038.1,1041.85,11053574,11516139461.1,203070,6037126,54.62,SBIN
40,2026-07-05 18:30:00,EQ,1041.9,1048.4,1036.5,1040.0,1038.5,1037.7,1042.41,8761017,9132609153.1,191771,5178312,59.11,SBIN
41,2026-07-02 18:30:00,EQ,1055.0,1057.0,1034.5,1051.6,1041.0,1040.0,1042.78,10441493,10888132141.2,275606,6053165,57.97,SBIN
42,2026-07-01 18:30:00,EQ,1050.9,1059.8,1045.0,1047.4,1049.0,1051.6,1051.29,14682790,15435854156.2,199908,8183860,55.74,SBIN
