,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,VOLUME,VALUE,NO OF TRADES,DELIVERY QTY,DELIVERY %,SYMBOL
32,2026-07-16 18:30:00,EQ,217.0,217.0,213.22,216.57,214.37,214.45,214.77,26561459,5704710741.31,105842,11247990,42.35,ADANIPOWER
33,2026-07-15 18:30:00,EQ,222.0,222.2,216.12,218.97,216.68,216.57,219.19,40710986,8923327407.29,170987,17757064,43.62,ADANIPOWER
34,2026-07-14 18:30:00,EQ,227.55,228.4,218.05,226.17,219.7,218.97,221.36,36262411,8027181309.24,151009,13519427,37.28,ADANIPOWER
35,2026-07-13 18:30:00,EQ,216.35,228.94,216.3,215.46,225.98,226.17,224.35,55601636,12474171801.45,251028,14818161,26.65,ADANIPOWER
36,2026-07-12 18:30:00,EQ,217.1,218.78,215.1,218.45,215.24,215.46,216.66,26415659,5723198208.4,113986,11437015,43.3,ADANIPOWER
37,2026-07-09 18:30:00,EQ,218.5,220.6,216.8,216.32,218.5,218.45,218.88,26196232,5733939872.54,100481,11126837,42.47,ADANIPOWER
38,2026-07-08 18:30:00,EQ,218.0,221.78,215.55,216.48,216.48,216.32,218.55,19107874,4176021814.43,102740,6050625,31.67,ADANIPOWER
39,2026-07-07 18:30:00,EQ,217.9,223.55,214.65,218.07,217.75,216.48,219.17,28539934,6255140176.45,114714,7297180,25.57,ADANIPOWER
40,2026-07-06 18:30:00,EQ,220.48,221.8,216.3,219.85,218.25,218.07,218.12,29372950,6406741837.44,109569,10594674,36.07,ADANIPOWER
41,2026-07-05 18:30:00,EQ,222.8,226.12,218.1,221.79,220.1,219.85,221.9,52966812,11753296025.37,186914,20022664,37.8,ADANIPOWER
42,2026-07-02 18:30:00,EQ,225.75,226.32,219.55,224.55,221.9,221.79,222.42,19666241,4374210845.39,89347,5978525,30.4,ADANIPOWER
43,2026-07-01 18:30:00,EQ,226.87,228.45,223.5,226.86,224.55,224.55,225.64,20862324,4707426589.0,89583,6397856,30.67,ADANIPOWER
44,2026-06-30 18:30:00,EQ,223.77,229.8,223.21,223.77,226.21,226.86,226.64,39061121,8852721821.5,165471,17303438,44.3,ADANIPOWER
45,2026-06-29 18:30:00,EQ,228.0,228.32,221.69,227.05,224.27,223.77,223.91,22697791,5082280428.09,126845,7667624,33.78,ADANIPOWER
46,2026-06-28 18:30:00,EQ,228.12,228.6,224.53,229.27,225.65,227.05,226.82,72715673,16493428192.9,206580,50755873,69.8,ADANIPOWER
47,2026-06-24 18:30:00,EQ,231.29,232.49,228.65,229.76,229.1,229.27,230.68,18735720,4321881081.14,86683,6256885,33.4,ADANIPOWER
48,2026-06-23 18:30:00,EQ,230.55,233.92,228.63,231.39,229.59,229.76,230.38,16821729,3875463211.87,82967,5500578,32.7,ADANIPOWER
49,2026-06-22 18:30:00,EQ,234.1,235.5,226.14,233.78,230.0,231.39,230.95,27392120,6326239314.13,130727,8937305,32.63,ADANIPOWER
50,2026-06-21 18:30:00,EQ,231.5,234.4,229.03,231.76,233.25,233.78,231.96,19943922,4626253364.56,101285,6443458,32.31,ADANIPOWER
51,2026-06-18 18:30:00,EQ,231.71,234.23,227.81,230.57,231.7,231.76,231.76,46115820,10687992895.71,151599,18339627,39.77,ADANIPOWER
52,2026-06-17 18:30:00,EQ,220.4,232.2,219.4,220.4,231.9,230.57,226.33,49545386,11213489430.57,207171,15841682,31.97,ADANIPOWER
