,RequestNumber,Index Name,INDEX_NAME,HistoricalDate,OPEN,HIGH,LOW,CLOSE
33,His63925001285915315000,,Nifty Smallcap 50,15 Jul 2026,9572.9,9650.5,9552.8,9588.15
34,His63925001285915315000,,Nifty Smallcap 50,14 Jul 2026,9610,9612.35,9519.3,9533.70
35,His63925001285915315000,,Nifty Smallcap 50,13 Jul 2026,9560.75,9648.45,9517.25,9638.20
36,His63925001285915315000,,Nifty Smallcap 50,10 Jul 2026,9542.15,9636.7,9523.45,9621.15
37,His63925001285915315000,,Nifty Smallcap 50,09 Jul 2026,9334.85,9495.15,9323.7,9477.95
38,His63925001285915315000,,Nifty Smallcap 50,08 Jul 2026,9488,9523.15,9266.1,9306.85
39,His63925001285915315000,,Nifty Smallcap 50,07 Jul 2026,9597.6,9602.5,9507.1,9531.70
40,His63925001285915315000,,Nifty Smallcap 50,06 Jul 2026,9475.65,9589,9461.2,9578.15
41,His63925001285915315000,,Nifty Smallcap 50,03 Jul 2026,9503.5,9523.7,9460.3,9470.40
42,His63925001285915315000,,Nifty Smallcap 50,02 Jul 2026,9387.4,9464.85,9367.15,9460.00
43,His63925001285915315000,,Nifty Smallcap 50,01 Jul 2026,9346.6,9406.3,9322.9,9354.15
44,His63925001286011196600,,Nifty Smallcap 50,30 Jun 2026,9264.15,9355.25,9251.5,9332.55
45,His63925001286011196600,,Nifty Smallcap 50,29 Jun 2026,9292.75,9306.3,9200.45,9235.05
46,His63925001286011196600,,Nifty Smallcap 50,25 Jun 2026,9369.45,9373.1,9286.95,9295.95
47,His63925001286011196600,,Nifty Smallcap 50,24 Jun 2026,9278.05,9339.3,9230.4,9332.05
48,His63925001286011196600,,Nifty Smallcap 50,23 Jun 2026,9352.45,9388.7,9258.25,9288.55
49,His63925001286011196600,,Nifty Smallcap 50,22 Jun 2026,9332.35,9341.05,9298.8,9326.85
50,His63925001286011196600,,Nifty Smallcap 50,19 Jun 2026,9228.95,9306.55,9213.9,9285.45
51,His63925001286011196600,,Nifty Smallcap 50,18 Jun 2026,9204.85,9262.8,9187.4,9238.80
52,His63925001286011196600,,Nifty Smallcap 50,17 Jun 2026,9146.25,9189.45,9134.65,9181.85
53,His63925001286011196600,,Nifty Smallcap 50,16 Jun 2026,9106.7,9138.55,9073.9,9114.60
54,His63925001286011196600,,Nifty Smallcap 50,15 Jun 2026,9117,9140.65,9060.95,9073.50
55,His63925001286011196600,,Nifty Smallcap 50,12 Jun 2026,8871.4,8983.7,8849.65,8976.10
56,His63925001286011196600,,Nifty Smallcap 50,11 Jun 2026,8740.35,8822.6,8700.25,8746.80
57,His63925001286011196600,,Nifty Smallcap 50,10 Jun 2026,8918.1,8929.1,8762.5,8779.00
58,His63925001286011196600,,Nifty Smallcap 50,09 Jun 2026,8805.05,8917.6,8804.95,8905.50
59,His63925001286011196600,,Nifty Smallcap 50,08 Jun 2026,8812.9,8877.15,8735.85,8766.30
60,His63925001286011196600,,Nifty Smallcap 50,05 Jun 2026,8938.15,8969.55,8863.9,8909.55
61,His63925001286011196600,,Nifty Smallcap 50,04 Jun 2026,8855.9,8946.85,8841.15,8914.25
62,His63925001286011196600,,Nifty Smallcap 50,03 Jun 2026,8909,8916.95,8762.1,8880.25
63,His63925001286011196600,,Nifty Smallcap 50,02 Jun 2026,8837.7,8905.2,8780.3,8894.60
64,His63925001286011196600,,Nifty Smallcap 50,01 Jun 2026,9008.6,9038.9,8868.85,8882.00
65,His63925001286024690600,,Nifty Smallcap 50,29 May 2026,9075.5,9091.3,8930.25,8951.35
66,His63925001286024690600,,Nifty Smallcap 50,27 May 2026,9032.25,9083.95,9014.3,9039.45
67,His63925001286024690600,,Nifty Smallcap 50,26 May 2026,8988.05,9066.45,8983,9013.75
68,His63925001286024690600,,Nifty Smallcap 50,25 May 2026,8929.15,8987.85,8921.95,8977.90
69,His63925001286024690600,,Nifty Smallcap 50,22 May 2026,8871.7,8881.3,8824.65,8836.70
70,His63925001286024690600,,Nifty Smallcap 50,21 May 2026,8870.85,8898.5,8832.65,8858.30
71,His63925001286024690600,,Nifty Smallcap 50,20 May 2026,8776.3,8822.4,8725.8,8811.65
72,His63925001286024690600,,Nifty Smallcap 50,19 May 2026,8749.1,8859.4,8737.95,8824.65
73,His63925001286024690600,,Nifty Smallcap 50,18 May 2026,8781.9,8781.9,8606,8718.35
